time,open,high,low,close,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Rolling POC,Volume,Volume MA
1637076600,176.29,176.999,176.29,176.888,NaN,NaN,NaN,NaN,NaN,NaN,41780,29835
1637077500,177,177.23675,177,177.2195,NaN,NaN,NaN,NaN,NaN,NaN,10000,29011
1637078400,177.2465,177.9,177.2465,177.9,NaN,NaN,NaN,NaN,NaN,NaN,18000,28911
1637079300,178.168,178.168,178.0235,178.1165,NaN,NaN,NaN,NaN,NaN,NaN,27320,29677
1637080200,178.166,178.166,177.667,177.667,NaN,NaN,NaN,NaN,NaN,NaN,20000,29277
1637081100,177.575,177.8635,177.575,177.8635,NaN,NaN,NaN,NaN,NaN,NaN,14000,27452
1637082000,177.9605,177.9605,177.7975,177.847,NaN,NaN,NaN,NaN,NaN,NaN,10000,27552
1637082900,178.0165,178.1535,177.82975,177.82975,NaN,NaN,NaN,NaN,NaN,NaN,20000,28252
1637083800,177.9225,178.1,177.9225,178.1,NaN,NaN,NaN,NaN,NaN,NaN,16000,26189
1637084700,178.081,178.081,177.9145,177.9145,NaN,NaN,NaN,NaN,NaN,NaN,12000,26589
1637085600,177.8,177.849,177.75,177.781,NaN,NaN,NaN,NaN,NaN,NaN,14000,26789
1637086500,177.6425,177.6425,177.405,177.405,NaN,NaN,NaN,NaN,NaN,NaN,12000,26336
1637087400,177.386,177.386,177.268,177.3585,NaN,NaN,NaN,NaN,NaN,NaN,12000,26436
1637088300,177.3585,177.3755,177.1365,177.356,NaN,NaN,NaN,NaN,NaN,NaN,42600,28113
1637089200,177.34,177.3415,177.09,177.09,NaN,NaN,NaN,NaN,NaN,NaN,16000,27401
1637090100,177.0815,177.1755,176.9645,177.16,NaN,NaN,NaN,NaN,NaN,NaN,34000,26596
1637091000,177.079,177.0985,177.017,177.0735,NaN,NaN,NaN,NaN,NaN,NaN,24000,23412
1637091900,177.125,177.2365,177.1175,177.2365,NaN,NaN,NaN,NaN,NaN,NaN,22000,22212
1637092800,177.121,177.121,176.949,176.949,NaN,NaN,NaN,NaN,NaN,NaN,28000,22400
1637093700,177.0785,177.5005,177.0785,177.4765,NaN,NaN,NaN,NaN,NaN,NaN,34420,21406
1637094600,177.422,177.422,177.216,177.287,NaN,NaN,NaN,NaN,NaN,NaN,38000,21217
1637095500,177.2475,177.251,176.8685,176.9895,NaN,NaN,NaN,NaN,NaN,NaN,158540,28644
1637159400,178.2495,178.89975,178.0825,178.82475,NaN,NaN,NaN,NaN,NaN,NaN,208700,38179
1637160300,178.825,179.10925,178.188,178.5065,NaN,NaN,NaN,NaN,NaN,NaN,83180,40972
1637161200,178.6055,179.069,178.284,178.954,NaN,NaN,NaN,NaN,NaN,NaN,89380,44441
1637162100,178.83,178.8575,178.2935,178.2935,NaN,NaN,NaN,NaN,NaN,NaN,70880,47285
1637163000,178.256,178.256,177.7775,178.211,NaN,NaN,NaN,NaN,NaN,NaN,22000,47885
1637163900,178.146,178.148,177.538,177.538,NaN,NaN,NaN,NaN,NaN,NaN,24500,48110
1637164800,177.635,178.028,177.635,178.028,NaN,NaN,NaN,NaN,NaN,NaN,20000,48310
1637165700,177.9855,178.129,177.877,177.877,NaN,NaN,NaN,NaN,NaN,NaN,10000,48210
1637166600,177.9535,178.425,177.9535,178.425,NaN,NaN,NaN,NaN,NaN,NaN,14000,48210
1637167500,178.447,178.879,178.447,178.879,NaN,NaN,NaN,NaN,NaN,NaN,30020,49111
1637168400,179.0285,179.32,178.9405,178.981,NaN,NaN,NaN,NaN,NaN,NaN,107860,53904
1637169300,179.075,179.1275,178.577,178.577,NaN,NaN,NaN,NaN,NaN,NaN,48500,54199
1637170200,178.6095,179.05,178.6095,178.958,NaN,NaN,NaN,NaN,NaN,NaN,43920,55595
1637171100,178.8515,179.0825,178.53,178.5705,NaN,NaN,NaN,NaN,NaN,NaN,18000,54795
1637172000,178.557,178.557,178.1125,178.12,NaN,NaN,NaN,NaN,NaN,NaN,36520,55421
1637172900,178.0885,178.3305,177.9305,178.301,NaN,NaN,NaN,NaN,NaN,NaN,32000,55921
1637173800,178.301,178.301,178.1175,178.2795,NaN,NaN,NaN,NaN,NaN,NaN,20000,55521
1637174700,178.389,178.5895,178.275,178.553,NaN,NaN,NaN,NaN,NaN,NaN,28000,55200
1637175600,178.5,178.5,178.355,178.4625,NaN,NaN,NaN,NaN,NaN,NaN,18000,54200
1637176500,178.4625,178.4625,178.097,178.1415,NaN,NaN,NaN,NaN,NaN,NaN,24960,47521
1637177400,177.9265,177.9265,177.7975,177.7975,NaN,NaN,NaN,NaN,NaN,NaN,10000,37586
1637178300,177.85,178.072,177.85,178.072,NaN,NaN,NaN,NaN,NaN,NaN,30000,34927
1637179200,177.9565,177.9565,177.383,177.87,NaN,NaN,NaN,NaN,NaN,NaN,42000,32558
1637180100,177.949,177.949,177.612,177.612,NaN,NaN,NaN,NaN,NaN,NaN,16940,29861
1637181000,177.7,177.8355,177.695,177.8355,NaN,NaN,NaN,NaN,NaN,NaN,16540,29588
1637181900,177.8265,177.8505,177.302,177.5195,NaN,NaN,NaN,NaN,NaN,NaN,121660,34446
1637245800,178.119,179.0305,178.119,179.0305,NaN,NaN,NaN,NaN,NaN,NaN,55640,36228
1637246700,178.918,179.299,178.735,179.142,NaN,NaN,NaN,NaN,NaN,NaN,83700,39913
1637247600,179.194,181.01375,179.194,180.3255,NaN,NaN,NaN,NaN,NaN,NaN,215300,49978
1637248500,179.9,180.511,179.9,180.394,NaN,NaN,NaN,NaN,NaN,NaN,31580,50056
1637249400,180.4305,181.3825,180.4305,181.086,NaN,NaN,NaN,NaN,NaN,NaN,100180,49672
1637250300,181.15,181.83875,181.136,181.8365,NaN,NaN,NaN,NaN,NaN,NaN,59580,50226
1637251200,181.531,181.771,181.148,181.675,NaN,NaN,NaN,NaN,NaN,NaN,72400,51650
1637252100,181.65,182.5585,181.65,182.4425,NaN,NaN,NaN,NaN,NaN,NaN,226580,62079
1637253000,182.463,183.325,182.44825,183.266,NaN,NaN,NaN,NaN,NaN,NaN,82000,64353
1637253900,183.4985,183.5995,183.1415,183.2675,NaN,NaN,NaN,NaN,NaN,NaN,85980,67052
1637254800,183.2855,183.7175,183.272,183.587,NaN,NaN,NaN,NaN,NaN,NaN,126000,72352
1637255700,183.7445,183.9675,183.6165,183.6165,NaN,NaN,NaN,NaN,NaN,NaN,44000,73152
1637256600,183.714,183.714,182.979,183,NaN,NaN,NaN,NaN,NaN,NaN,45760,74540
1637257500,183.0185,183.2305,182.576,183.2305,NaN,NaN,NaN,NaN,NaN,NaN,51820,75883
1637258400,183.2335,183.6875,183.2335,183.474,NaN,NaN,NaN,NaN,NaN,NaN,44000,77583
1637259300,183.696,183.7005,183.3,183.4915,NaN,NaN,NaN,NaN,NaN,NaN,22000,77183
1637260200,183.5975,183.923,183.5975,183.9215,NaN,NaN,NaN,NaN,NaN,NaN,34000,76783
1637261100,184.0835,184.1045,183.9075,183.95,NaN,NaN,NaN,NaN,NaN,NaN,20300,76951
1637262000,183.9,184.2,183.76,184.1145,NaN,NaN,NaN,NaN,NaN,NaN,46960,78472
1637262900,184.0805,184.0805,183.492,183.625,NaN,NaN,NaN,NaN,NaN,NaN,41760,74477
1637263800,183.6085,183.8795,183.324,183.4515,NaN,NaN,NaN,NaN,NaN,NaN,44000,73895
1637264700,183.554,183.7075,183.245,183.4995,NaN,NaN,NaN,NaN,NaN,NaN,51500,72285
1637265600,183.4095,184.2,183.326,183.8845,NaN,NaN,NaN,NaN,NaN,NaN,84900,65765
1637266500,183.933,184.0575,183.746,184.0575,NaN,NaN,NaN,NaN,NaN,NaN,92480,68810
1637267400,184.0695,184.6835,184.03,184.6525,NaN,NaN,NaN,NaN,NaN,NaN,171240,72363
1637268300,184.6755,185.2,184.6215,184.745,NaN,NaN,NaN,NaN,NaN,NaN,403380,89553
1637332200,185.4995,187.41975,185.3845,187.41975,NaN,NaN,NaN,NaN,NaN,NaN,363100,104088
1637333100,187.436,187.806,186.8,187.7455,NaN,NaN,NaN,NaN,NaN,NaN,136960,99607
1637334000,187.493,187.493,185.9965,186.594,NaN,NaN,NaN,NaN,NaN,NaN,168000,103907
1637334900,186.5905,187.409,186.289,186.7105,NaN,NaN,NaN,NaN,NaN,NaN,101960,104706
1637335800,186.375,187.188,186.361,187.0355,NaN,NaN,NaN,NaN,NaN,NaN,68000,101806
1637336700,186.9355,187.178,186.822,187.0865,NaN,NaN,NaN,NaN,NaN,NaN,48000,102006
1637337600,187.1465,187.6845,187.05,187.6845,NaN,NaN,NaN,NaN,NaN,NaN,85920,104014
1637338500,187.4815,187.9,187.454,187.6805,NaN,NaN,NaN,NaN,NaN,NaN,89780,105912
1637339400,187.7545,187.803,187.42,187.6945,NaN,NaN,NaN,NaN,NaN,NaN,43600,105892
1637340300,187.6,188.0445,187.5885,187.7275,NaN,NaN,NaN,NaN,NaN,NaN,90080,109296
1637341200,187.752,187.752,187.121,187.121,NaN,NaN,NaN,NaN,NaN,NaN,44940,109843
1637342100,187.0935,187.2685,187,187.2685,NaN,NaN,NaN,NaN,NaN,NaN,18000,109728
